CBSA Code,CBSA Title,State Name
10100,"Aberdeen, SD",South Dakota
10100,"Aberdeen, SD",South Dakota
10140,"Aberdeen, WA",Washington
10180,"Abilene, TX",Texas
10180,"Abilene, TX",Texas
10180,"Abilene, TX",Texas
10220,"Ada, OK",Oklahoma
10300,"Adrian, MI",Michigan
10380,"Aguadilla-Isabela, PR",Puerto Rico
10380,"Aguadilla-Isabela, PR",Puerto Rico
10380,"Aguadilla-Isabela, PR",Puerto Rico
10380,"Aguadilla-Isabela, PR",Puerto Rico
10380,"Aguadilla-Isabela, PR",Puerto Rico
10380,"Aguadilla-Isabela, PR",Puerto Rico
10380,"Aguadilla-Isabela, PR",Puerto Rico
10380,"Aguadilla-Isabela, PR",Puerto Rico
10380,"Aguadilla-Isabela, PR",Puerto Rico
10420,"Akron, OH",Ohio
10420,"Akron, OH",Ohio
10460,"Alamogordo, NM",New Mexico
10500,"Albany, GA",Georgia
10500,"Albany, GA",Georgia
10500,"Albany, GA",Georgia
10500,"Albany, GA",Georgia
10540,"Albany-Lebanon, OR",Oregon
10580,"Albany-Schenectady-Troy, NY",New York
10580,"Albany-Schenectady-Troy, NY",New York
10580,"Albany-Schenectady-Troy, NY",New York
10580,"Albany-Schenectady-Troy, NY",New York
10580,"Albany-Schenectady-Troy, NY",New York
10620,"Albemarle, NC",North Carolina
10660,"Albert Lea, MN",Minnesota
10700,"Albertville, AL",Alabama
10740,"Albuquerque, NM",New Mexico
10740,"Albuquerque, NM",New Mexico
10740,"Albuquerque, NM",New Mexico
10740,"Albuquerque, NM",New Mexico
10760,"Alexander City, AL",Alabama
10760,"Alexander City, AL",Alabama
10780,"Alexandria, LA",Louisiana
10780,"Alexandria, LA",Louisiana
10820,"Alexandria, MN",Minnesota
10860,"Alice, TX",Texas
10860,"Alice, TX",Texas
10900,"Allentown-Bethlehem-Easton, PA-NJ",New Jersey
10900,"Allentown-Bethlehem-Easton, PA-NJ",Pennsylvania
10900,"Allentown-Bethlehem-Easton, PA-NJ",Pennsylvania
10900,"Allentown-Bethlehem-Easton, PA-NJ",Pennsylvania
10940,"Alma, MI",Michigan
